instnm,Brown University,Columbia University in the City of New York,Cornell University,Dartmouth College,Harvard University,Princeton University,University of Pennsylvania,Yale University
Auxiliary enterprises-Total amount (F1718_F2),114914000,253908000,234379719,87150196,564217000,97418000,164284000,0
Academic support-Total amount (F1718_F2),149485000,118025000,274422688,245955902,813105000,184444000,899840000,1297482884
Student service-Total amount (F1718_F2),83344000,163988000,198451593,87177596,203899000,132872000,98630000,365988004
Institutional support-Total amount (F1718_F2),100454000,369696000,339249073,101608202,911993000,213322000,282298000,258171988
Net grant aid to students-Total amount (F1718_F2),21117000,0,49393851,0,152421000,67494000,0,101549299
Independent operations-Total Amount (F1718_F2),0,0,0,0,0,118541000,72320000,0
Other expenses-Total amount (F1718_F2),0,0,0,9979341,0,0,172490000,0
Total expenses-Total amount (F1718_F2),968340000,4596899000,2353696866,884086291,5018957000,1718147000,9561019000,3657868135
Hospital services-Total amount (F1718_F2),0,0,0,0,0,0,5701069000,0
Are intercollegiate athletic expenses accounted for as auxiliary enterprises or treated as student services? (FLAGS2018),2,2,2,2,1,2,1,2
Total number of undergraduates - fall cohort (SFA1718),6988,8170,14907,4410,9965,5394,11716,5746
Total price for out-of-state students living on campus 2018-19 (DRVIC2018),73802,76856,73904,74359,71650,70900,74408,73900
Auxiliary enterprises-Total amount (F1617_F2_RV),97833000,241200000,218034339,83552747,557406000,90459000,160193000,0
Academic support-Total amount (F1617_F2_RV),132082000,121838000,249368447,238696493,793600000,197317000,917959000,396961861
Student service-Total amount (F1617_F2_RV),83641000,154168000,165522656,87770543,203323000,133246000,98527000,323999103
Institutional support-Total amount (F1617_F2_RV),104824000,365957000,328606787,101821060,911811000,188979000,265379000,250015829
Net grant aid to students-Total amount (F1617_F2_RV),19168000,0,45261683,0,147555000,64061000,0,98647724
Independent operations-Total Amount (F1617_F2_RV),0,0,0,0,0,112649000,72106000,0
Other expenses-Total amount (F1617_F2_RV),0,0,0,42584497,0,0,169853000,0
Total expenses-Total amount (F1617_F2_RV),901068000,4384914000,2191151070,915707151,4884585000,1615975000,8850931000,3480520000
Hospital services-Total amount (F1617_F2_RV),0,0,0,0,0,0,5109872000,0
Are intercollegiate athletic expenses accounted for as auxiliary enterprises or treated as student services? (FLAGS2017),2,2,2,2,1,2,1,2
Total number of undergraduates - fall cohort (SFA1617_RV),6926,8124,14566,4310,9915,5400,11716,5472
Total price for out-of-state students living on campus 2017-18 (DRVIC2017),71050,74199,70321,71827,69600,66150,71715,71290
Auxiliary enterprises-Total amount (F1516_F2_RV),100594000,198735000,227613336,85797872,577478000,93683000,141315000,0
Academic support-Total amount (F1516_F2_RV),134656000,117529000,232417482,277444380,831005000,221863000,833428000,327689464
Student service-Total amount (F1516_F2_RV),69598000,143945000,163262339,91183197,196706000,133976000,86629000,240272772
Institutional support-Total amount (F1516_F2_RV),94501000,323193000,339298297,107229613,779006000,176105000,282079000,234353035
Net grant aid to students-Total amount (F1516_F2_RV),16661000,0,46156244,0,142069000,61017000,0,95490515
Independent operations-Total Amount (F1516_F2_RV),0,0,0,0,0,125610000,70040000,0
Other expenses-Total amount (F1516_F2_RV),0,0,0,16868440,0,0,152909000,339342916
Total expenses-Total amount (F1516_F2_RV),854890000,4044402000,2154076702,934979645,4700225000,1670740000,8139987000,3364206000
Hospital services-Total amount (F1516_F2_RV),0,0,0,0,0,0,4649085000,0
