Tuition and Fees,Brown,Columbia,Cornell,Dartmouth,Harvard,Princeton,Upenn,Yale
2018-19,55466,59430,55188,55453,50420,50340,55584,53430
2017-18,53419,57208,52853,53368,48949,47140,53534,51400
2016-17,51366,55056,50953,51438,47074,45320,51464,49480
2015-16,49346,53000,49116,49506,45278,43450,49536,47600
2014-15,47434,51008,47286,48108,43938,41820,47668,45800
2013-14,45612,49138,45358,46752,42292,40170,45890,44000
2012-13,43758,47246,43413,45042,39966,39537,43738,42300
2011-12,42230,45290,41541,42996,39851,37865,42098,40500
2010-11,40820,43304,39666,40437,38415,36640,40514,38300
2009-10,38848,41316,37954,38679,37012,35340,38970,36500
2008-09,37718,39326,36504,36915,36173,34290,37526,35300
2007-08,36342,37223,34781,35178,34998,33000,35916,34530
2006-07,34620,35166,32981,33501,33709,33000,34156,33030
2005-06,32974,33246,31467,31770,32097,31450,32364,31460
2004-05,30672,31472,30167,30465,30620,29910,30716,29820
2003-04,29200,29788,28754,28965,29060,28540,29318,28400
