instnm,Undergraduate enrollment (DRVEF2018),Total  enrollment (DRVEF2018),Full-time equivalent fall enrollment (DRVEF2018),Full-time enrollment (DRVEF2018),Undergraduate enrollment (DRVEF2017_RV),Total  enrollment (DRVEF2017_RV),Full-time equivalent fall enrollment (DRVEF2017_RV),Full-time enrollment (DRVEF2017_RV),Undergraduate enrollment (DRVEF2016_RV),Total  enrollment (DRVEF2016_RV),Full-time equivalent fall enrollment (DRVEF2016_RV),Full-time enrollment (DRVEF2016_RV),Undergraduate enrollment (DRVEF2015_RV),Total  enrollment (DRVEF2015_RV),Full-time equivalent fall enrollment (DRVEF2015_RV),Full-time enrollment (DRVEF2015_RV),Undergraduate enrollment (DRVEF2014_RV),Total  enrollment (DRVEF2014_RV),Full-time equivalent fall enrollment (DRVEF2014_RV),Full-time enrollment (DRVEF2014_RV),Undergraduate enrollment (DRVEF2013_RV),Total  enrollment (DRVEF2013_RV),Full-time equivalent fall enrollment (DRVEF2013_RV),Full-time enrollment (DRVEF2013_RV),Undergraduate enrollment (DRVEF2012_RV),Total  enrollment (DRVEF2012_RV),Full-time equivalent fall enrollment (DRVEF2012_RV),Full-time enrollment (DRVEF2012_RV),Undergraduate enrollment (DRVEF2011_RV),Total  enrollment (DRVEF2011_RV),Full-time equivalent fall enrollment (DRVEF2011_RV),Full-time enrollment (DRVEF2011_RV),Undergraduate enrollment (DRVEF2010_RV),Total  enrollment (DRVEF2010_RV),Full-time equivalent fall enrollment (DRVEF2010_RV),Full-time enrollment (DRVEF2010_RV),Undergraduate enrollment (DRVEF2009_1_RV),Total  enrollment (DRVEF2009_RV),Full-time equivalent fall enrollment (DRVEF2009_RV),Full-time enrollment (DRVEF2009_RV),Total  enrollment (DRVEF2008_RV),Full-time equivalent enrollment: Fall 2008 (DRVEF2008_RV),Full-time enrollment (DRVEF2008_RV),Total  enrollment (DRVEF2007_RV),Full-time equivalent enrollment: Fall 2007 (DRVEF2007_RV),Full-time enrollment (DRVEF2007_RV),Total  enrollment (DRVEF2006_RV),Full-time equivalent enrollment: Fall 2006 (DRVEF2006_RV),Full-time enrollment (DRVEF2006_RV),Total  enrollment (DFR2005_RV),Full-time equivalent enrollment: Fall 2005 (DFR2005_RV),Full-time enrollment (DFR2005_RV),Total  enrollment (DFR2004_RV),Full-time equivalent enrollment: Fall 2004 (DFR2004_RV),Full-time enrollment (DFR2004_RV),Full-time equivalent enrollment: Fall 2003 (HD2003)
Brown University,7043,10257,9884,9648,6988,10095,9728,9495,6926,9781,9423,9196,6652,9458,9113,8894,6548,9181,8922,8756,6455,8943,8689,8527,6435,8885,8601,8420,6380,8768,8510,8346,6318,8705,8483,8341,6244,8574,8326,8169,8318,8094,7952,8167,7974,7850,8125,7899,7754,8261,8041,7899,8004,7762,7604,7649
Columbia University in the City of New York,8216,31077,27990,26072,8147,30404,27302,25374,8124,29372,26400,24553,8102,28086,25274,23525,8100,27589,24925,23268,7970,26957,24352,22731,7814,26471,23774,22097,8127,26050,23430,21793,7950,25208,22845,21366,7743,24230,22004,20611,23196,21105,19796,22655,20719,19507,22317,20319,19067,21983,20091,18904,21648,19713,18498,19467
Cornell University,15182,23600,23538,23499,14907,23016,22959,22923,14566,22319,22262,22227,14315,21904,21850,21817,14282,21679,21632,21602,14393,21593,21553,21528,14261,21424,21376,21346,14167,21131,21073,21037,13935,20939,20878,20840,13931,20633,20569,20529,20273,20218,20184,19800,19777,19763,19639,19616,19601,19642,19616,19599,19518,19489,19471,19595
Dartmouth College,4418,6572,6489,6436,4410,6509,6435,6389,4310,6409,6341,6298,4307,6350,6280,6236,4289,6298,6210,6155,4276,6342,6246,6185,4193,6277,6187,6130,4194,6144,6055,5999,4248,6141,6037,5971,4196,5987,5880,5813,5848,5759,5698,5849,5786,5746,5753,5665,5609,5780,5693,5637,5704,5617,5562,5595
Harvard University,9950,31566,25070,21006,9965,31120,24846,20918,9915,29908,24180,20591,10255,29652,24072,20568,10338,28791,23658,20430,10534,28242,23403,20353,10478,28006,23253,20258,10305,27392,22809,19921,10265,27594,23015,20131,10257,27651,22935,19967,26496,22199,19490,25690,21904,19513,25778,21983,19584,25017,21493,19263,24648,21193,19007,21257
Princeton University,5428,8374,8309,8267,5394,8273,8192,8139,5400,8181,8091,8032,5402,8138,8062,8013,5391,8088,8018,7972,5323,8014,7966,7935,5327,7975,7975,7975,5203,7813,7813,7813,5142,7724,7724,7724,5113,7592,7592,7592,7330,7330,7330,7261,7261,7261,7085,7085,7085,6773,6773,6773,6708,6708,6708,6688
University of Pennsylvania,11851,25860,23463,21960,11716,25367,23052,21599,11716,24960,22748,21358,11588,24876,22842,21563,11548,24806,22739,21441,11525,24630,22612,21344,11678,24725,22695,21416,11765,24832,22683,21329,11940,25007,22673,21203,11954,24599,22172,20643,24107,21668,20128,23980,21427,19816,23743,21137,19492,23704,21293,19771,23305,20831,19267,20675
Yale University,5964,13433,13353,13303,5746,12974,12915,12878,5472,12458,12388,12345,5532,12385,12302,12250,5477,12336,12223,12153,5430,12109,11997,11927,5405,11906,11804,11740,5349,11875,11763,11694,5310,11701,11597,11533,5275,11593,11507,11454,10192,10109,10057,11454,11345,11273,11415,11303,11229,11483,11360,11276,11441,11276,11165,11315
instnm,Brown University,Columbia University in the City of New York,Cornell University,Dartmouth College,Harvard University,Princeton University,University of Pennsylvania,Yale University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2018),7043,8216,15182,4418,9950,5428,11851,5964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
