instnm,Harvard
Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),77
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1718),55
Average amount of federal  state  local or institutional grant aid awarded (SFA1718),53545
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1718),17
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1718),7566
Percent of full-time first-time undergraduates awarded Pell grants (SFA1718),17
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1718),4849
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1718),12
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1718),3962
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1718),3
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1718),2536
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1718),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718),51259
Percent of full-time first-time undergraduates awarded student loans (SFA1718),6
Average amount of student loans awarded to full-time first-time undergraduates (SFA1718),6430
Percent of full-time first-time undergraduates awarded federal student loans (SFA1718),2
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1718),4951
Percent of full-time first-time undergraduates awarded other student loans (SFA1718),5
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1718),5477
Percent of full-time first-time undergraduates awarded any financial aid (SFA1617_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1617_RV),56
Average amount of federal  state  local or institutional grant aid awarded (SFA1617_RV),49870
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1617_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1617_RV),7389
Percent of full-time first-time undergraduates awarded Pell grants (SFA1617_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1617_RV),4659
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1617_RV),10
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1617_RV),3954
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1617_RV),3
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1617_RV),2729
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1617_RV),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),48524
Percent of full-time first-time undergraduates awarded student loans (SFA1617_RV),9
Average amount of student loans awarded to full-time first-time undergraduates (SFA1617_RV),7372
Percent of full-time first-time undergraduates awarded federal student loans (SFA1617_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1617_RV),5133
Percent of full-time first-time undergraduates awarded other student loans (SFA1617_RV),8
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1617_RV),6764
Percent of full-time first-time undergraduates awarded any financial aid (SFA1516_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1516_RV),55
Average amount of federal  state  local or institutional grant aid awarded (SFA1516_RV),48195
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1516_RV),16
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1516_RV),7651
Percent of full-time first-time undergraduates awarded Pell grants (SFA1516_RV),16
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1516_RV),4821
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1516_RV),11
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1516_RV),3963
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1516_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1516_RV),2373
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1516_RV),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),46044
Percent of full-time first-time undergraduates awarded student loans (SFA1516_RV),8
Average amount of student loans awarded to full-time first-time undergraduates (SFA1516_RV),6844
Percent of full-time first-time undergraduates awarded federal student loans (SFA1516_RV),2
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1516_RV),4858
Percent of full-time first-time undergraduates awarded other student loans (SFA1516_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1516_RV),6376
Percent of full-time first-time undergraduates awarded any financial aid (SFA1415_RV),75
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1415_RV),52
Average amount of federal  state  local or institutional grant aid awarded (SFA1415_RV),46508
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1415_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1415_RV),8125
Percent of full-time first-time undergraduates awarded Pell grants (SFA1415_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1415_RV),4612
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1415_RV),11
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1415_RV),5055
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1415_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1415_RV),2482
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1415_RV),52
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),44029
Percent of full-time first-time undergraduates awarded student loans (SFA1415_RV),8
Average amount of student loans awarded to full-time first-time undergraduates (SFA1415_RV),6225
Percent of full-time first-time undergraduates awarded federal student loans (SFA1415_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1415_RV),5333
Percent of full-time first-time undergraduates awarded other student loans (SFA1415_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1415_RV),5740
Percent of full-time first-time undergraduates awarded any financial aid (SFA1314_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1314_RV),56
Average amount of federal  state  local or institutional grant aid awarded (SFA1314_RV),44855
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1314_RV),17
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1314_RV),8323
Percent of full-time first-time undergraduates awarded Pell grants (SFA1314_RV),17
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1314_RV),4739
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1314_RV),12
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1314_RV),5150
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1314_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1314_RV),2430
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1314_RV),56
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),42157
Percent of full-time first-time undergraduates awarded student loans (SFA1314_RV),7
Average amount of student loans awarded to full-time first-time undergraduates (SFA1314_RV),5080
Percent of full-time first-time undergraduates awarded federal student loans (SFA1314_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1314_RV),4546
Percent of full-time first-time undergraduates awarded other student loans (SFA1314_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1314_RV),4496
Percent of full-time first-time undergraduates awarded any financial aid (SFA1213_RV),75
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1213_RV),58
Average amount of federal  state  local or institutional grant aid awarded (SFA1213_RV),41505
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1213_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1213_RV),7225
Percent of full-time first-time undergraduates awarded Pell grants (SFA1213_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1213_RV),4458
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1213_RV),10
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1213_RV),3976
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1213_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1213_RV),2347
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1213_RV),58
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),39842
Percent of full-time first-time undergraduates awarded student loans (SFA1213_RV),9
Average amount of student loans awarded to full-time first-time undergraduates (SFA1213_RV),6267
Percent of full-time first-time undergraduates awarded federal student loans (SFA1213_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1213_RV),4028
Percent of full-time first-time undergraduates awarded other student loans (SFA1213_RV),8
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1213_RV),5908
